Linux 6.14.0-36-generic (legion) 	04/11/2026 	_x86_64_	(12 CPU)

01:39:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:41:12 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:41:13 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:41:14 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:41:15 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:41:16 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     8  component_conta
01:41:17 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:41:18 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:19 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:41:20 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:41:21 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:22 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:41:23 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:24 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:25 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:26 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     1  component_conta
01:41:27 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     1  component_conta
01:41:28 PM  1000    205890    1.00    2.00    0.00    0.00    3.00    10  component_conta
01:41:29 PM  1000    205890    0.00    1.00    0.00    0.00    1.00    10  component_conta
01:41:30 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:31 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:32 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     0  component_conta
01:41:33 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:34 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:35 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:41:36 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:37 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:38 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:41:39 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:41:40 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:41:41 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:41:42 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:41:43 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:41:44 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:45 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:46 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:41:47 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:41:48 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:41:49 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:41:50 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:41:51 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     4  component_conta
01:41:52 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:41:53 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:41:54 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:41:55 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     4  component_conta
01:41:56 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:41:57 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:41:58 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:41:59 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:00 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:42:01 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:42:02 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:42:03 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:42:04 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     8  component_conta
01:42:05 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:06 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:42:07 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:42:08 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     8  component_conta
01:42:09 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:10 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:42:11 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:12 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:42:13 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:14 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:42:15 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     8  component_conta
01:42:16 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:42:17 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     8  component_conta
01:42:18 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:42:19 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:42:20 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:42:21 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:42:22 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:23 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:42:24 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:25 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:42:26 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:42:27 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:42:28 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:42:29 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     3  component_conta
01:42:30 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:42:31 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:42:32 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:42:33 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     2  component_conta
01:42:34 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:42:35 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     6  component_conta
01:42:36 PM  1000    205890    0.00    2.00    0.00    0.00    2.00    10  component_conta
01:42:37 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     7  component_conta
01:42:38 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:42:39 PM  1000    205890    1.00    1.00    0.00    0.00    2.00    10  component_conta
01:42:40 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:42:41 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     0  component_conta
01:42:42 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:42:43 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:42:44 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     4  component_conta
01:42:45 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:42:46 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:42:47 PM  1000    205890    0.00    1.98    0.00    0.00    1.98     0  component_conta
01:42:48 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     0  component_conta
01:42:49 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     0  component_conta
01:42:50 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     4  component_conta
01:42:51 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:42:52 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     6  component_conta
01:42:53 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     6  component_conta
01:42:54 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     4  component_conta
01:42:55 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     4  component_conta
01:42:56 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     2  component_conta
01:42:57 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:42:58 PM  1000    205890    1.00    1.00    0.00    0.00    2.00     2  component_conta
01:42:59 PM  1000    205890    0.00    2.00    0.00    0.00    2.00     3  component_conta
01:43:00 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
01:43:01 PM  1000    205890    1.00    2.00    0.00    0.00    3.00     3  component_conta
01:43:02 PM  1000    205890    0.00    1.00    0.00    0.00    1.00     3  component_conta
